Category: ⚽ Esportes, Name: ESPN, Total: 1, Valid: 0, Valid Percent: 0.00%, IPv4: 1, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 📰 Notícias e Docs, Name: Discovery Channel, Total: 3, Valid: 0, Valid Percent: 0.00%, IPv4: 3, IPv6: 0, Min Delay: 599 ms, Max Speed: 0.22 M/s, Average Speed: 0.00 M/s, Max Resolution: 1920x1080, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 🎬 Filmes e Séries, Name: HBO 2, Total: 1, Valid: 0, Valid Percent: 0.00%, IPv4: 1, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 🎬 Filmes e Séries, Name: Star Channel, Total: 3, Valid: 0, Valid Percent: 0.00%, IPv4: 3, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 📰 Notícias e Docs, Name: National Geographic, Total: 1, Valid: 0, Valid Percent: 0.00%, IPv4: 1, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 🎬 Filmes e Séries, Name: TNT, Total: 1, Valid: 0, Valid Percent: 0.00%, IPv4: 1, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 📰 Notícias e Docs, Name: History, Total: 2, Valid: 1, Valid Percent: 50.00%, IPv4: 2, IPv6: 0, Min Delay: 1838 ms, Max Speed: 1.91 M/s, Average Speed: 1.91 M/s, Max Resolution: 1920x1080, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 📰 Notícias e Docs, Name: CNN Brasil, Total: 5, Valid: 3, Valid Percent: 60.00%, IPv4: 5, IPv6: 0, Min Delay: 48 ms, Max Speed: 86.86 M/s, Average Speed: 75.78 M/s, Max Resolution: 1920x1080, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 🎬 Filmes e Séries, Name: HBO, Total: 27, Valid: 1, Valid Percent: 3.70%, IPv4: 27, IPv6: 0, Min Delay: 399 ms, Max Speed: 0.22 M/s, Average Speed: 0.22 M/s, Max Resolution: 1280x720, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
Category: 🧸 Infantil, Name: Nickelodeon, Total: 11, Valid: 0, Valid Percent: 0.00%, IPv4: 11, IPv6: 0, Min Delay: -1 ms, Max Speed: 0.00 M/s, Average Speed: 0.00 M/s, Max Resolution: None, Avg FPS: Unknown, Video Codec: Unknown, Audio Codec: Unknown
